player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Joan Jordán,8,es ESP,RM,27-309,54,46,0,8,16,24,3,46,1,0,0.0,1,100.0,27,112,34,0,2,0,0,2,39,4,36,2021-2022
   Thomas Delaney,18,dk DEN,RM,30-250,36,23,0,9,11,3,2,23,0,0,,0,,8,16,4,0,0,0,0,1,12,1,36,2021-2022
Marcos Acuña,19,ar ARG,LB,30-195,90,123,1,20,55,52,0,123,3,2,66.7,1,33.3,83,749,594,11,11,0,1,1,100,7,36,2021-2022
Diego Carlos,20,br BRA,CB,29-057,90,76,6,31,39,6,3,76,0,0,,0,,42,147,57,0,0,0,1,0,58,0,36,2021-2022
Jules Koundé,23,fr FRA,CB,23-180,90,94,9,34,41,20,3,94,1,0,0.0,1,100.0,60,238,148,2,3,0,2,1,68,2,36,2021-2022
Jesús Navas,16,es ESP,RB,36-171,66,67,1,20,22,25,3,67,2,0,0.0,2,100.0,38,187,107,3,2,2,0,0,45,7,36,2021-2022
   Lucas Ocampos,5,ar ARG,RW,27-304,24,16,0,3,2,11,3,16,1,0,0.0,1,100.0,9,56,14,2,0,0,0,0,11,3,36,2021-2022
Yassine Bounou,13,ma MAR,GK,31-036,90,23,21,23,0,0,0,23,0,0,,0,,10,34,20,0,0,0,0,0,11,0,36,2021-2022
Ángel Rodríguez,22,es ESP,FW,35-015,73,21,0,6,9,7,2,21,0,0,,0,,12,56,37,0,0,0,3,2,10,0,36,2021-2022
   Takefusa Kubo,17,jp JPN,FW,20-341,17,9,0,3,4,2,0,9,1,0,0.0,1,100.0,7,58,40,2,1,0,1,0,7,1,36,2021-2022
Vedat Muriqi,7,xk KVX,FW,28-017,90,45,3,9,14,24,3,45,1,0,0.0,1,100.0,19,166,120,3,4,0,4,1,29,2,36,2021-2022
Antonio Sánchez,10,es ESP,CM,25-130,86,35,4,14,15,10,1,35,4,1,25.0,3,75.0,24,198,122,2,2,1,1,2,21,1,36,2021-2022
   Clément Grenier,6,fr FRA,CM,31-124,4,5,0,1,1,3,1,5,0,0,,0,,1,3,2,0,0,0,0,0,1,0,36,2021-2022
Rodrigo Battaglia,16,ar ARG,CM,30-303,90,41,9,16,20,5,0,41,1,1,100.0,0,0.0,17,97,55,1,0,0,0,0,17,0,36,2021-2022
Salva Sevilla,8,es ESP,CM,38-054,73,37,1,13,14,10,0,37,0,0,,0,,22,82,17,0,0,0,3,0,18,2,36,2021-2022
   Dani Rodríguez,14,es ESP,CM,33-339,17,13,4,8,2,3,1,13,0,0,,0,,1,4,0,0,0,0,1,1,3,0,36,2021-2022
Jaume Costa,18,es ESP,LB,34-054,86,36,4,12,17,7,1,36,0,0,,0,,13,68,24,1,0,0,0,0,16,3,36,2021-2022
   Franco Russo,5,ar ARG,LB,27-198,4,2,0,0,2,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Brian Oliván,3,es ESP,CB,28-040,90,35,7,15,15,6,1,35,1,1,100.0,0,0.0,16,82,55,1,0,0,0,0,12,0,36,2021-2022
Antonio Raillo,21,es ESP,CB,30-215,90,24,7,18,7,0,0,24,0,0,,0,,13,66,22,0,0,0,1,0,10,0,36,2021-2022
Martin Valjent,24,sk SVK,CB,26-151,90,30,10,18,11,1,0,30,0,0,,0,,5,23,20,0,0,0,0,0,7,0,36,2021-2022
Pablo Maffeo,15,es ESP,RB,24-303,89,22,4,9,7,6,1,22,0,0,,0,,10,57,22,1,1,1,1,3,9,1,36,2021-2022
   Giovanni González,2,uy URU,RB,27-233,1,1,1,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,36,2021-2022
Manolo Reina,1,es ESP,GK,37-040,90,38,32,38,0,0,0,38,0,0,,0,,12,95,80,0,0,0,0,0,8,0,36,2021-2022
Lucas Boyé,9,ar ARG,FW,26-072,57,22,2,4,12,6,0,22,1,1,100.0,0,0.0,13,32,2,0,0,0,3,2,19,4,36,2021-2022
   Guido Carrillo,7,ar ARG,FW,30-351,33,11,0,0,7,4,0,11,0,0,,0,,4,16,7,0,1,0,1,0,10,1,36,2021-2022
Fidel,16,es ESP,"LW,AM",32-196,57,36,0,4,16,16,1,36,2,1,50.0,1,50.0,13,74,25,1,2,1,0,3,25,6,36,2021-2022
   Kike Pérez,24,es ESP,AM,25-086,33,34,0,2,14,19,2,34,3,2,66.7,1,33.3,18,219,172,7,6,1,1,0,28,2,36,2021-2022
Tete Morente,11,es ESP,"RW,WB",25-158,57,30,0,6,14,12,1,30,4,1,25.0,3,75.0,18,90,27,1,1,0,2,1,19,8,36,2021-2022
   Josan,17,es ESP,WB,32-159,33,34,0,4,11,19,2,34,0,0,,0,,14,100,44,2,1,0,0,0,28,2,36,2021-2022
Pere Milla,10,es ESP,AM,29-230,68,29,0,2,19,9,2,29,2,1,50.0,1,50.0,15,77,51,1,0,0,2,0,19,3,36,2021-2022
   Javier Pastore,15,ar ARG,AM,32-325,22,20,0,0,8,12,1,20,1,1,100.0,0,0.0,15,137,57,3,1,1,0,1,20,4,36,2021-2022
Gerard Gumbau,2,es ESP,"CM,DM",27-144,90,82,0,19,43,20,1,82,0,0,,0,,35,196,73,0,1,0,0,0,63,3,36,2021-2022
