player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Roger Martí,21,es ESP,FW,32-267,63,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,3,10,30.0,0,9,0,0,0,7,2023-2024
   Chris Ramos,16,es ESP,FW,26-252,27,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,0,2,1,1,0,7,2023-2024
Darwin Machís,18,ve VEN,LM,30-232,63,0,0,0,0,1,1,0,0,19,1,0,0,0.0,0.0,0.0,0,0,10,15,66.7,0,15,1,0,0,7,2023-2024
   Rubén Sobrino,7,es ESP,"LM,RM",31-118,27,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,1,8,0,1,0,7,2023-2024
Rubén Alcaraz,4,es ESP,CM,32-149,90,0,0,0,0,2,0,1,0,74,1,3,2,0.0,0.0,0.0,3,0,51,61,83.6,8,38,4,1,1,7,2023-2024
Gonzalo Escalante,17,ar ARG,CM,30-184,82,0,0,0,0,2,0,0,0,50,5,3,0,0.3,0.3,0.2,1,0,26,37,70.3,1,9,0,0,0,7,2023-2024
   José Mari,6,es ESP,CM,35-295,8,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,2,0,7,10,70.0,0,3,0,0,0,7,2023-2024
Iván Alejo,11,es ESP,RM,28-229,63,0,0,0,0,0,0,1,0,36,1,0,1,0.0,0.0,0.0,2,0,14,25,56.0,3,22,4,1,0,7,2023-2024
   Roberto Navarro,27,es ESP,"RM,LM",21-168,27,0,0,0,0,1,0,0,0,10,0,0,1,0.0,0.0,0.0,1,0,4,5,80.0,1,3,1,1,0,7,2023-2024
Javi Hernández ,15,es ESP,LB,25-148,90,0,0,0,0,0,0,1,0,53,0,1,2,0.0,0.0,0.1,4,0,35,45,77.8,3,12,1,1,0,7,2023-2024
Fali,3,es ESP,CB,30-046,90,0,0,0,0,0,0,0,0,51,2,0,1,0.0,0.0,0.0,0,0,32,43,74.4,5,22,0,0,0,7,2023-2024
Luis Hernández,23,es ESP,CB,34-166,90,0,0,0,0,0,0,1,0,82,1,1,0,0.0,0.0,0.0,2,0,58,79,73.4,6,44,0,0,0,7,2023-2024
Isaac Carcelen,20,es ESP,RB,30-157,90,0,0,0,0,1,1,0,0,55,0,1,3,0.2,0.2,0.1,2,0,32,43,74.4,3,21,1,1,0,7,2023-2024
Jeremías Ledesma,1,ar ARG,GK,30-226,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,34,46,73.9,0,29,0,0,0,7,2023-2024
