player,shirtnumber,nationality,position,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,Matchweek,Season
   Nacho Gil,31,es ESP,CM,22-085,45,1,0,0,1,0,0,0,,0,2,0,2,0,1,0,0,14,2017-2018
Daniel Parejo,10,es ESP,CM,28-231,90,5,4,4,0,1,1,4,25.0,3,3,1,2,1,6,0,0,14,2017-2018
Carlos Soler,18,es ESP,RM,20-335,90,2,1,1,1,0,1,2,50.0,1,1,0,1,0,2,1,0,14,2017-2018
José Luis Gayà,14,es ESP,LB,22-192,90,2,2,2,0,0,2,2,100.0,0,0,0,0,1,3,2,0,14,2017-2018
Rúben Vezo,3,pt POR,CB,23-222,90,1,0,0,1,0,0,2,0.0,2,1,1,0,0,1,6,0,14,2017-2018
Gabriel Paulista,5,br BRA,CB,27-007,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,4,0,14,2017-2018
Martín Montoya,21,es ESP,RB,26-233,90,5,3,2,3,0,1,3,33.3,2,1,0,1,4,9,5,0,14,2017-2018
Neto,13,br BRA,GK,28-137,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Sergi Enrich,9,es ESP,FW,27-280,90,2,2,0,2,0,1,2,50.0,1,1,1,0,0,2,1,0,14,2017-2018
Kiké,17,es ESP,FW,28-008,86,1,1,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,14,2017-2018
   Imanol Sarriegi,26,es ESP,FW,22-220,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Takashi Inui,8,jp JPN,LM,29-184,90,1,1,0,1,0,0,1,0.0,1,1,0,1,2,3,0,0,14,2017-2018
Dani García,14,es ESP,CM,27-193,76,1,1,1,0,0,0,4,0.0,4,0,0,0,1,2,0,0,14,2017-2018
   Gonzalo Escalante,5,ar ARG,CM,24-251,14,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,0,0,14,2017-2018
Joan Jordán,24,es ESP,CM,23-150,90,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,1,0,14,2017-2018
Iván Alejo,20,es ESP,RM,22-296,90,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,14,2017-2018
David Juncà,23,es ESP,LB,24-017,50,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,14,2017-2018
   José Ángel,15,es ESP,LB,28-089,40,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,14,2017-2018
Anaitz Arbilla,18,es ESP,CB,30-202,90,1,0,0,0,1,1,1,100.0,0,0,0,0,3,4,5,0,14,2017-2018
Paulo Oliveira,12,pt POR,CB,25-329,90,2,1,1,1,0,2,3,66.7,1,1,0,1,2,4,9,0,14,2017-2018
Ander Capa,7,es ESP,RB,25-298,90,2,2,0,1,1,1,3,33.3,2,0,0,0,1,3,3,0,14,2017-2018
Marko Dmitrović,25,rs SRB,GK,25-313,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
Gerard Moreno,7,es ESP,FW,25-240,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,14,2017-2018
Sergio García,9,es ESP,FW,34-177,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
   Léo Baptistão,11,br BRA,FW,25-099,85,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,3,0,14,2017-2018
Pablo Piatti,19,ar ARG,LM,28-247,90,1,1,1,0,0,0,1,0.0,1,4,1,3,2,3,0,0,14,2017-2018
Javi Fuego,18,es ESP,CM,33-333,54,3,2,2,0,1,2,4,50.0,2,0,0,0,1,4,0,0,14,2017-2018
   Esteban Granero,23,es ESP,CM,30-154,36,1,1,0,0,1,0,2,0.0,2,0,0,0,1,2,0,0,14,2017-2018
Sergi Darder,25,es ESP,CM,23-346,90,4,3,2,1,1,1,2,50.0,1,1,0,1,2,6,0,1,14,2017-2018
José Manuel Jurado,10,es ESP,RM,31-157,61,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,14,2017-2018
   Óscar Melendo,14,es ESP,RM,20-102,29,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,14,2017-2018
Aarón Martín,3,es ESP,LB,20-225,90,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,2,0,14,2017-2018
Mario Hermoso,22,es ESP,CB,22-168,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,14,2017-2018
David López,15,es ESP,CB,28-055,90,1,0,0,1,0,0,0,,0,0,0,0,1,2,3,0,14,2017-2018
Víctor Sánchez,4,es ESP,RB,30-086,90,4,3,4,0,0,4,10,40.0,6,2,0,2,2,6,3,0,14,2017-2018
Pau López,1,es ESP,GK,22-355,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,14,2017-2018
