player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,Matchweek,Season
Oghenekaro Etebo,6,ng NGA,"CM,DM",22-150,90,0,0,0,0,3,0,0,0,65,0,3,2,0.1,0.1,0.1,3,0,44,55,80.0,8,54,2,2,2,31,2017-2018
Javi Castellano,18,es ESP,"CM,DM",30-157,90,0,0,0,0,1,0,1,0,59,2,3,0,0.0,0.0,0.0,2,0,45,48,93.8,2,36,0,0,0,31,2017-2018
Dani Castellano,23,es ESP,LB,30-157,66,0,0,0,0,0,0,0,0,43,2,1,0,0.0,0.0,0.0,1,0,23,30,76.7,0,25,2,3,1,31,2017-2018
   David Simón,2,es ESP,RB,29-113,24,0,0,0,0,0,0,0,0,23,2,1,0,0.0,0.0,0.0,1,0,15,20,75.0,0,12,2,0,0,31,2017-2018
Álex Gálvez,20,es ESP,CB,28-306,90,0,0,0,0,1,0,1,0,54,3,3,3,0.0,0.0,0.0,1,0,31,40,77.5,2,27,0,0,0,31,2017-2018
David García,5,es ESP,CB,36-042,90,1,0,0,0,1,1,0,0,42,0,2,1,0.1,0.1,0.0,1,0,24,33,72.7,3,24,0,1,1,31,2017-2018
Matías Aguirregaray,3,uy URU,"RB,LB",29-007,74,0,0,0,0,0,0,1,0,47,2,1,0,0.0,0.0,0.3,3,1,32,42,76.2,3,28,1,0,0,31,2017-2018
   Benito Ramírez,28,es ESP,LB,22-271,16,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,9,0,0,0,31,2017-2018
Leandro Chichizola,13,ar ARG,GK,28-012,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,22,39,56.4,0,24,0,0,0,31,2017-2018
Cristiano Ronaldo,7,pt POR,FW,33-062,63,1,0,0,0,4,3,0,0,34,0,0,0,0.4,0.4,0.3,4,0,22,28,78.6,1,24,6,1,1,31,2017-2018
   Karim Benzema,9,fr FRA,FW,30-110,27,0,0,0,0,1,0,0,0,9,0,0,1,0.1,0.1,0.0,0,0,4,5,80.0,0,6,0,0,0,31,2017-2018
Gareth Bale,11,wls WAL,FW,28-266,90,0,1,0,0,5,1,0,0,50,0,0,0,0.6,0.6,0.5,7,1,32,40,80.0,4,36,5,6,4,31,2017-2018
Marco Asensio,20,es ESP,LM,22-077,71,0,0,0,0,5,0,0,0,56,0,0,0,0.2,0.2,0.1,4,1,41,48,85.4,7,42,3,0,0,31,2017-2018
   Isco,22,es ESP,LM,25-352,19,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.1,4,0,33,35,94.3,8,33,3,2,1,31,2017-2018
Toni Kroos,8,de GER,CM,28-094,90,0,0,0,0,2,0,1,0,95,1,1,0,0.1,0.1,0.5,6,0,83,91,91.2,12,64,3,0,0,31,2017-2018
Mateo Kovačić,23,hr CRO,CM,23-337,71,0,0,0,0,2,0,0,0,70,1,0,0,0.1,0.1,0.0,1,0,62,66,93.9,3,60,0,2,2,31,2017-2018
   Luka Modrić,10,hr CRO,CM,32-211,19,0,0,0,0,1,0,0,0,30,0,0,0,0.0,0.0,0.1,4,0,28,29,96.6,6,21,2,0,0,31,2017-2018
