player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Denis Suárez,6,es ESP,CM,27-106,61,34,25,8,2,0,0,4,0,3,1,2,0,29,1,1,31,2020-2021
   Fran Beltrán,8,es ESP,"CM,DM",22-078,29,22,21,1,1,0,0,0,0,0,0,0,0,22,0,0,31,2020-2021
Brais Méndez,23,es ESP,"RM,LM",24-105,90,47,45,2,2,0,0,3,0,0,0,0,0,36,0,1,31,2020-2021
Renato Tapia,14,pe PER,"DM,CB",25-268,90,44,41,3,3,0,1,0,0,0,0,0,0,34,0,1,31,2020-2021
Aarón Martín,19,es ESP,LB,24-000,61,28,19,8,0,0,0,2,8,0,0,0,0,20,1,0,31,2020-2021
   José Fontán,29,es ESP,LB,21-070,29,20,16,4,0,0,0,2,4,0,0,0,0,15,0,1,31,2020-2021
Jeison Murillo,24,co COL,CB,28-330,90,56,56,0,0,0,1,0,0,0,0,0,0,49,0,0,31,2020-2021
Néstor Araujo,4,mx MEX,CB,29-236,84,46,46,0,0,0,0,0,0,0,0,0,0,38,0,2,31,2020-2021
   Facundo Ferreyra,12,ar ARG,FW,30-039,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,31,2020-2021
Hugo Mallo,2,es ESP,RB,29-304,90,66,54,12,2,0,1,11,10,0,0,0,0,37,0,0,31,2020-2021
Iván Villar,1,es ESP,GK,23-287,90,41,32,9,5,0,0,0,0,0,0,0,0,26,0,0,31,2020-2021
Jorge Molina,23,es ESP,FW,39-000,50,15,15,0,0,0,0,0,0,0,0,0,0,10,0,1,31,2020-2021
   Maxime Gonalons,4,fr FRA,"CM,DM",32-043,40,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,31,2020-2021
Roberto Soldado,9,es ESP,FW,35-330,80,15,13,2,0,0,0,1,0,0,0,0,0,6,0,0,31,2020-2021
   Carlos Neva,15,es ESP,LB,24-314,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,31,2020-2021
Darwin Machís,11,ve VEN,"LM,LW",28-074,70,16,12,4,0,0,0,2,0,4,1,0,0,12,0,0,31,2020-2021
   Kenedy,24,br BRA,RM,25-073,20,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,31,2020-2021
Ángel Montoro,19,es ESP,"CM,AM",32-301,70,31,26,3,3,0,2,6,0,0,0,0,0,15,2,0,31,2020-2021
   Víctor Díaz,16,es ESP,CB,32-314,20,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Yangel Herrera,21,ve VEN,"CM,DM",23-098,90,29,28,1,0,0,0,0,0,0,0,0,0,21,0,0,31,2020-2021
Antonio Puertas,10,es ESP,"RM,RW,FW,LM",29-060,90,15,15,0,0,1,0,2,0,0,0,0,0,9,0,2,31,2020-2021
Quini,17,es ESP,"LB,LM",31-210,90,20,8,12,0,0,0,0,12,0,0,0,0,13,0,0,31,2020-2021
Jesús Vallejo,20,es ESP,CB,24-107,80,25,24,1,1,0,1,0,0,0,0,0,0,18,0,0,31,2020-2021
   Nehuén Pérez,3,ar ARG,CB,20-302,10,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Germán Sánchez,6,es ESP,CB,34-131,90,29,28,1,1,0,0,0,0,0,0,0,0,20,0,0,31,2020-2021
Dimitri Foulquier,2,fr FRA,RB,28-030,90,39,15,24,0,0,0,0,24,0,0,0,0,29,0,2,31,2020-2021
Rui Silva,1,pt POR,GK,27-074,90,38,21,16,6,0,0,0,0,0,0,0,0,19,1,0,31,2020-2021
Kiké,17,es ESP,FW,31-148,82,20,17,3,0,0,0,0,0,0,0,0,0,17,0,0,31,2020-2021
   Kévin Rodrigues,24,pt POR,FW,27-048,8,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,31,2020-2021
Bryan Gil,25,es ESP,"LW,LM",20-070,82,38,34,4,0,0,0,5,3,1,0,1,0,30,0,2,31,2020-2021
   Unai Arietaleanizbeaskoa,32,es ESP,LM,22-111,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,31,2020-2021
Alejandro Pozo Pozo,22,es ESP,"RW,RB",22-059,90,48,44,4,1,0,0,7,3,0,0,0,0,35,0,1,31,2020-2021
Recio,18,es ESP,"LM,CM",30-101,90,71,57,13,6,0,0,7,0,6,3,3,0,64,1,0,31,2020-2021
Papakouli Diop,8,sn SEN,CM,35-034,59,26,26,0,0,0,0,0,0,0,0,0,0,18,0,1,31,2020-2021
   Quique,7,es ESP,FW,30-341,31,7,6,1,0,0,0,0,0,0,0,0,0,4,0,0,31,2020-2021
Miguel Atienza,33,es ESP,"RM,CM",21-330,90,34,34,0,0,0,1,0,0,0,0,0,0,24,0,0,31,2020-2021
Rafa Soares,11,pt POR,LB,25-348,45,31,25,6,1,0,1,3,5,0,0,0,0,23,0,1,31,2020-2021
   Pedro León,21,es ESP,"RM,LB",34-149,45,29,28,1,0,0,0,4,1,0,0,0,0,21,0,1,31,2020-2021
Sergio Álvarez,6,es ESP,CB,29-089,59,33,33,0,0,0,0,0,0,0,0,0,0,26,0,0,31,2020-2021
   José Ángel,15,es ESP,LB,31-229,31,27,24,3,0,0,1,3,3,0,0,0,0,18,0,0,31,2020-2021
Paulo Oliveira,4,pt POR,CB,29-104,90,68,66,2,2,0,1,0,0,0,0,0,0,57,0,0,31,2020-2021
Anaitz Arbilla,23,es ESP,"RB,CB",33-342,90,70,61,9,4,0,2,4,5,0,0,0,0,56,0,1,31,2020-2021
