player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
   Álvaro Negredo,9,es ESP,FW,38-027,14,2,6,33.3,45,2,0,1,0.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Rubén Sobrino,7,es ESP,LM,31-107,58,8,19,42.1,84,13,6,10,60.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0,0,1,0,1,5,2023-2024
   Maxi Gómez,25,uy URU,LM,27-033,32,5,7,71.4,65,8,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,1,2,0,0,0,5,2023-2024
Gonzalo Escalante,17,ar ARG,CM,30-173,90,15,23,65.2,176,49,10,13,76.9,0,3,0.0,2,4,50.0,0,0.1,0.0,1,0,1,0,1,5,2023-2024
Rubén Alcaraz,4,es ESP,CM,32-138,77,19,23,82.6,390,99,10,11,90.9,3,4,75.0,5,6,83.3,0,0.0,0.0,0,1,0,0,1,5,2023-2024
   Álex Fernández,8,es ESP,CM,30-336,13,5,7,71.4,51,9,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Iván Alejo,11,es ESP,RM,28-218,58,3,12,25.0,50,25,1,4,25.0,0,3,0.0,1,2,50.0,0,0.0,0.0,0,1,0,0,1,5,2023-2024
   Roberto Navarro,27,es ESP,RM,21-157,32,7,10,70.0,91,41,5,7,71.4,1,1,100.0,1,1,100.0,0,0.1,0.1,1,1,1,1,1,5,2023-2024
Javi Hernández ,15,es ESP,LB,25-137,90,22,37,59.5,333,246,14,19,73.7,6,10,60.0,2,6,33.3,0,0.0,0.0,0,0,0,0,2,5,2023-2024
Fali,3,es ESP,CB,30-035,90,12,23,52.2,278,103,2,5,40.0,4,8,50.0,5,9,55.6,0,0.0,0.0,0,0,0,0,0,5,2023-2024
Luis Hernández,23,es ESP,CB,34-155,90,11,20,55.0,233,93,3,4,75.0,7,10,70.0,1,5,20.0,0,0.0,0.0,0,1,0,0,1,5,2023-2024
Isaac Carcelen,20,es ESP,RB,30-146,90,25,32,78.1,341,149,14,17,82.4,8,11,72.7,1,2,50.0,0,0.0,0.0,1,2,0,0,0,5,2023-2024
Jeremías Ledesma,1,ar ARG,GK,30-215,90,22,38,57.9,1122,1095,2,2,100.0,3,3,100.0,17,33,51.5,0,0.0,0.0,0,1,0,0,0,5,2023-2024
Hugo Duro,9,es ESP,FW,23-310,82,5,11,45.5,55,9,4,6,66.7,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,5,2023-2024
