player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Dani García,14,es ESP,DM,29-163,90,42,0,6,30,6,1,42,0,0,,0,,22,102,27,0,0,0,0,1,29,1,12,2019-2020
Mikel San José,6,es ESP,DM,30-157,65,28,0,4,20,4,0,28,0,0,,0,,14,36,6,0,0,0,0,1,19,0,12,2019-2020
   Mikel Vesga,16,es ESP,DM,26-166,25,16,1,5,7,4,0,16,0,0,,0,,8,44,18,0,0,0,0,0,9,1,12,2019-2020
Yuri Berchiche,17,es ESP,LB,29-266,90,63,8,28,17,18,0,63,0,0,,0,,32,236,132,4,1,0,2,1,30,4,12,2019-2020
Iñigo Martínez,4,es ESP,CB,28-170,90,38,7,20,17,2,2,38,0,0,,0,,18,124,82,1,0,0,0,0,19,0,12,2019-2020
Yeray Álvarez,5,es ESP,CB,24-283,90,53,12,28,25,0,0,53,0,0,,0,,28,140,87,0,0,0,0,0,30,0,12,2019-2020
Ander Capa,21,es ESP,RB,27-268,90,55,6,16,21,18,0,55,0,0,,0,,24,149,112,5,4,0,1,2,19,3,12,2019-2020
Unai Simón,1,es ESP,GK,22-145,90,44,34,44,0,0,0,44,0,0,,0,,22,148,125,0,0,0,0,0,15,0,12,2019-2020
Juan Villar,18,es ESP,FW,31-168,75,36,1,3,13,22,6,35,0,0,,0,,16,76,16,1,2,0,4,2,26,5,12,2019-2020
   Marc Cardona,7,es ESP,FW,24-118,15,9,0,0,8,2,0,9,0,0,,0,,6,55,40,1,1,0,0,0,7,1,12,2019-2020
Ezequiel Ávila,9,ar ARG,FW,25-270,90,38,0,4,18,17,5,38,0,0,,0,,23,151,96,5,2,1,3,2,30,8,12,2019-2020
Rubén García,14,es ESP,LM,26-112,80,56,2,4,22,30,5,56,2,1,50.0,1,50.0,29,115,52,1,1,1,4,2,34,9,12,2019-2020
   Iñigo Pérez,21,es ESP,LM,31-289,10,12,0,1,9,2,0,12,1,1,100.0,0,0.0,9,20,11,0,0,0,1,0,9,1,12,2019-2020
Fran Mérida,8,es ESP,CM,29-244,84,54,2,4,38,12,0,54,2,1,50.0,1,50.0,28,131,56,0,1,0,1,2,33,2,12,2019-2020
   Darko Brašanac,20,rs SRB,CM,27-264,6,7,0,0,5,2,1,7,0,0,,0,,3,23,14,0,0,0,0,0,3,0,12,2019-2020
Oier Sanjurjo,6,es ESP,CM,33-162,90,42,1,8,28,6,1,42,0,0,,0,,15,41,9,0,0,0,2,0,23,3,12,2019-2020
Roberto Torres,10,es ESP,RM,30-241,90,51,2,4,32,16,3,50,4,3,75.0,1,25.0,22,87,40,4,3,1,0,1,34,8,12,2019-2020
Pervis Estupiñán,30,ec ECU,LB,21-286,90,61,4,21,26,14,1,61,2,1,50.0,1,50.0,28,212,121,3,1,0,2,0,27,5,12,2019-2020
David García,5,es ESP,CB,25-262,90,45,4,16,28,2,0,45,0,0,,0,,19,83,25,0,1,0,1,0,26,0,12,2019-2020
