player,shirtnumber,nationality,position,age,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,Matchweek,Season
Luka Modrić,10,hr CRO,"CM,RM",33-049,90,39,46,84.8,610,160,25,26,96.2,12,14,85.7,2,3,66.7,0,0.0,0.0,1,4,0,0,3,10,2018-2019
Marcelo,12,br BRA,"LB,WB",30-169,81,42,53,79.2,680,396,25,27,92.6,14,18,77.8,3,6,50.0,0,0.1,0.1,2,4,5,1,8,10,2018-2019
   Mariano,7,do DOM,FW,25-088,9,5,6,83.3,83,12,3,3,100.0,2,2,100.0,0,0,,0,0.4,0.2,1,0,1,0,1,10,2018-2019
Sergio Ramos,4,es ESP,CB,32-212,90,41,49,83.7,832,319,14,16,87.5,19,21,90.5,8,12,66.7,0,0.0,0.0,0,2,0,0,2,10,2018-2019
Raphaël Varane,5,fr FRA,CB,25-186,45,23,27,85.2,437,101,10,10,100.0,11,13,84.6,2,4,50.0,0,0.0,0.0,0,0,0,0,1,10,2018-2019
   Lucas Vázquez,17,es ESP,WB,27-119,45,23,27,85.2,374,122,13,14,92.9,9,11,81.8,1,1,100.0,0,0.4,0.3,1,2,2,1,2,10,2018-2019
Nacho,6,es ESP,"CB,RB",28-283,90,38,46,82.6,569,176,21,25,84.0,15,17,88.2,1,1,100.0,0,0.0,0.0,0,1,0,0,2,10,2018-2019
Thibaut Courtois,25,be BEL,GK,26-170,90,23,30,76.7,655,484,3,3,100.0,14,14,100.0,6,13,46.2,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Rubén Sobrino,7,es ESP,FW,26-149,90,20,27,74.1,248,14,10,14,71.4,5,7,71.4,1,1,100.0,0,0.5,0.2,2,0,0,0,1,10,2018-2019
Jonathan Calleri,12,ar ARG,FW,25-035,90,16,27,59.3,281,32,8,12,66.7,4,9,44.4,3,3,100.0,0,0.0,0.1,0,0,1,1,1,10,2018-2019
Jony,23,es ESP,LM,27-111,90,22,39,56.4,414,234,10,13,76.9,7,12,58.3,5,11,45.5,1,0.1,0.4,1,4,3,2,3,10,2018-2019
Tomás Pina Isla,8,es ESP,CM,31-014,90,34,43,79.1,532,199,15,18,83.3,16,19,84.2,2,2,100.0,0,0.6,0.2,4,6,1,1,6,10,2018-2019
Wakaso,22,gh GHA,CM,28-095,81,27,35,77.1,624,138,7,10,70.0,10,11,90.9,8,10,80.0,0,0.1,0.0,1,2,1,0,2,10,2018-2019
   Manu García,19,es ESP,CM,32-185,9,5,9,55.6,89,29,3,3,100.0,1,3,33.3,1,3,33.3,0,0.0,0.0,0,0,0,0,1,10,2018-2019
Ibai Gómez,11,es ESP,RM,28-351,89,31,41,75.6,572,201,18,19,94.7,6,12,50.0,5,8,62.5,0,0.1,0.2,3,6,5,3,6,10,2018-2019
   Borja Bastón,18,es ESP,"RM,FW",26-064,1,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Rubén Duarte,3,es ESP,LB,23-010,90,27,43,62.8,530,216,12,14,85.7,8,13,61.5,6,14,42.9,0,0.0,0.0,1,5,0,0,2,10,2018-2019
Ximo Navarro,15,es ESP,CB,28-278,59,33,36,91.7,716,206,10,10,100.0,18,19,94.7,5,6,83.3,0,0.0,0.0,0,1,0,0,3,10,2018-2019
   Guillermo Maripán,6,cl CHI,CB,24-175,31,6,8,75.0,225,138,1,1,100.0,1,2,50.0,4,5,80.0,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Víctor Laguardia,5,es ESP,CB,28-357,90,40,55,72.7,898,313,11,13,84.6,22,29,75.9,7,12,58.3,0,0.0,0.0,0,1,0,0,1,10,2018-2019
Martin Agirregabiria,21,es ESP,RB,22-171,90,42,55,76.4,764,312,17,18,94.4,18,21,85.7,6,9,66.7,0,0.0,0.1,1,6,2,1,8,10,2018-2019
Fernando Pacheco,1,es ESP,GK,26-163,90,22,39,56.4,838,700,1,1,100.0,6,6,100.0,15,32,46.9,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Gerard Moreno,7,es ESP,FW,26-204,90,23,33,69.7,384,59,11,16,68.8,10,11,90.9,2,3,66.7,0,0.0,0.0,0,0,1,0,3,10,2018-2019
Alfonso Pedraza,16,es ESP,"LW,LM",22-202,90,26,38,68.4,467,129,9,12,75.0,13,15,86.7,3,7,42.9,0,0.0,0.0,1,5,1,0,6,10,2018-2019
Santi Cazorla,19,es ESP,RW,33-319,65,25,38,65.8,402,139,13,16,81.3,11,13,84.6,1,6,16.7,0,0.0,0.0,0,1,2,0,6,10,2018-2019
   Karl Toko Ekambi,17,cm CMR,FW,26-044,25,6,6,100.0,116,20,4,4,100.0,0,0,,2,2,100.0,0,0.2,0.1,3,1,1,0,1,10,2018-2019
Pablo Fornals,8,es ESP,"AM,RM",22-248,90,27,39,69.2,448,116,14,17,82.4,11,17,64.7,2,5,40.0,0,0.0,0.0,1,7,0,0,8,10,2018-2019
Manu Trigueros,14,es ESP,"DM,CM",27-011,82,37,51,72.5,619,203,19,22,86.4,12,17,70.6,6,11,54.5,0,0.0,0.0,0,3,0,0,2,10,2018-2019
   Manuel Iturra,20,cl CHI,CM,34-127,8,5,7,71.4,86,23,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,10,2018-2019
Santiago Cáseres,5,ar ARG,"DM,CM",21-245,89,46,48,95.8,957,217,16,16,100.0,20,21,95.2,10,11,90.9,0,0.0,0.0,0,5,0,0,7,10,2018-2019
   Dani Raba,22,es ESP,CM,22-364,1,1,2,50.0,8,9,1,1,100.0,0,0,,0,0,,0,0.0,0.0,1,0,0,0,0,10,2018-2019
Jaume Costa,11,es ESP,LB,30-224,90,54,65,83.1,902,324,24,24,100.0,26,32,81.3,4,7,57.1,0,0.0,0.0,0,5,1,0,8,10,2018-2019
Ramiro Funes Mori,4,ar ARG,CB,27-237,90,36,47,76.6,855,413,10,10,100.0,17,22,77.3,9,15,60.0,0,0.0,0.0,0,4,0,0,4,10,2018-2019
Álvaro González,3,es ESP,CB,28-293,90,37,57,64.9,713,347,15,16,93.8,15,22,68.2,7,18,38.9,0,0.0,0.0,0,2,0,0,6,10,2018-2019
Mario Gaspar,2,es ESP,RB,27-338,90,37,50,74.0,598,175,18,24,75.0,17,21,81.0,2,5,40.0,0,0.1,0.1,2,1,0,0,3,10,2018-2019
Sergio Asenjo,1,es ESP,GK,29-122,90,19,35,54.3,556,431,3,3,100.0,8,9,88.9,8,23,34.8,0,0.0,0.0,0,1,0,0,0,10,2018-2019
Wissam Ben Yedder,9,fr FRA,FW,28-077,90,21,25,84.0,259,61,14,15,93.3,6,7,85.7,0,1,0.0,1,0.7,1.1,3,2,0,0,5,10,2018-2019
André Silva,12,pt POR,FW,22-356,52,8,10,80.0,101,10,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.0,2,1,0,0,1,10,2018-2019
   Quincy Promes,21,nl NED,FW,26-297,38,9,11,81.8,87,31,8,9,88.9,1,2,50.0,0,0,,0,0.0,0.0,0,0,2,0,2,10,2018-2019
Pablo Sarabia,17,es ESP,AM,26-170,90,49,62,79.0,734,185,24,27,88.9,21,22,95.5,1,9,11.1,0,0.0,0.1,1,2,1,1,7,10,2018-2019
Éver Banega,10,ar ARG,CM,30-121,89,86,98,87.8,1701,725,30,31,96.8,45,49,91.8,11,17,64.7,0,0.1,0.1,3,17,0,0,20,10,2018-2019
   Roque Mesa,7,es ESP,CM,29-143,1,1,1,100.0,5,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,10,2018-2019
Franco Vázquez,22,ar ARG,CM,29-248,90,45,56,80.4,694,197,22,23,95.7,17,23,73.9,2,4,50.0,1,0.5,0.2,1,4,1,0,4,10,2018-2019
Guilherme Arana,23,br BRA,WB,21-197,90,44,52,84.6,683,198,27,32,84.4,14,15,93.3,3,4,75.0,0,0.0,0.0,0,0,0,0,2,10,2018-2019
Jesús Navas,16,es ESP,WB,32-341,90,40,55,72.7,618,139,28,35,80.0,9,12,75.0,3,4,75.0,0,0.0,0.0,0,4,2,0,3,10,2018-2019
Sergi Gómez,3,es ESP,CB,26-214,90,57,66,86.4,1015,216,26,27,96.3,26,29,89.7,4,6,66.7,0,0.0,0.0,0,1,0,0,2,10,2018-2019
Simon Kjær,4,dk DEN,CB,29-216,23,19,20,95.0,394,143,3,3,100.0,14,14,100.0,2,3,66.7,0,0.0,0.0,0,1,0,0,2,10,2018-2019
