Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Matchweek,Season
   Mohamed Ali Cho,11,fr FRA,RW,19-205,17,0,0,0,0,0,0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,1.0,7.0,2.0,2.0,1.0,1,2023-2024
Beñat Turrientes,22,es ESP,LM,21-193,79,0,0,0,0,1,0,0,0,19.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,4.0,18.0,1.0,1.0,0.0,1,2023-2024
   Olasagasti,16,es ESP,LM,22-361,11,0,0,0,0,1,0,1,0,10.0,1.0,0,0.0,0.2,0.2,0.0,0.0,0.0,5.0,7.0,71.4,2.0,3.0,0.0,0.0,0.0,1,2023-2024
Martín Zubimendi,4,es ESP,CM,24-191,90,0,0,0,0,1,0,0,0,52.0,1.0,0,1.0,0.0,0.0,0.0,4.0,0.0,42.0,47.0,89.4,5.0,34.0,2.0,2.0,1.0,1,2023-2024
Brais Méndez,23,es ESP,RM,26-217,90,0,0,0,0,2,0,0,0,56.0,3.0,0,1.0,0.1,0.1,0.3,4.0,0.0,35.0,45.0,77.8,4.0,33.0,0.0,3.0,1.0,1,2023-2024
Aihen Muñoz,3,es ESP,LB,25-361,90,0,1,0,0,1,0,0,0,55.0,4.0,0,1.0,0.0,0.0,0.2,3.0,1.0,30.0,43.0,69.8,1.0,31.0,2.0,4.0,1.0,1,2023-2024
Robin Le Normand,24,es ESP,CB,26-274,90,0,0,0,0,1,0,1,0,75.0,2.0,3,0.0,0.1,0.1,0.0,2.0,0.0,53.0,62.0,85.5,2.0,42.0,0.0,0.0,0.0,1,2023-2024
Igor Zubeldia,5,es ESP,CB,26-135,90,0,0,0,0,0,0,0,0,52.0,0.0,1,1.0,0.0,0.0,0.2,1.0,0.0,41.0,47.0,87.2,4.0,38.0,1.0,0.0,0.0,1,2023-2024
Hamari Traoré,18,ml MLI,RB,31-197,73,0,0,0,0,0,0,0,0,39.0,0.0,0,1.0,0.0,0.0,0.1,3.0,0.0,27.0,34.0,79.4,2.0,17.0,0.0,0.0,0.0,1,2023-2024
   Alex Sola,2,es ESP,RB,24-064,17,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,1.0,7.0,0.0,0.0,0.0,1,2023-2024
Álex Remiro,1,es ESP,GK,28-141,90,0,0,0,0,0,0,0,0,38.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,0.0,27.0,0.0,0.0,0.0,1,2023-2024
Marc Cardona,19,es ESP,FW,28-035,63,0,0,0,0,0,0,0,0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,68.4,0.0,14.0,1.0,5.0,1.0,1,2023-2024
   Munir El Haddadi,17,ma MAR,FW,27-345,27,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,2.0,13.0,0.0,2.0,1.0,1,2023-2024
Sandro Ramírez,9,es ESP,LW,28-034,90,0,0,0,0,2,1,0,0,36.0,0.0,0,0.0,0.1,0.1,0.0,3.0,1.0,17.0,23.0,73.9,2.0,26.0,2.0,2.0,0.0,1,2023-2024
Jonathan Viera,21,es ESP,RW,33-295,90,1,0,1,1,0,0,0,0,68.0,0.0,0,0.0,0.8,0.0,0.0,3.0,0.0,54.0,61.0,88.5,7.0,41.0,0.0,7.0,4.0,1,2023-2024
Enzo Loiodice,12,fr FRA,CM,22-258,90,0,0,0,0,1,0,1,0,83.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,66.0,75.0,88.0,3.0,54.0,1.0,3.0,0.0,1,2023-2024
Kirian Rodríguez,20,es ESP,CM,27-160,84,0,0,0,0,1,0,1,0,104.0,3.0,2,0.0,0.0,0.0,0.0,2.0,1.0,84.0,95.0,88.4,6.0,77.0,4.0,3.0,3.0,1,2023-2024
