player,shirtnumber,nationality,position,age,minutes,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,Matchweek,Season
Alejandro Balde,28,es ESP,RB,19-214,90,0,0,0,0,2,0,0,0,2,0,0,0,3,0,0,,35,2022-2023
Marc-André ter Stegen,1,de GER,GK,31-020,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,35,2022-2023
Alexander Sørloth,19,no NOR,FW,27-166,80,0,0,0,0,1,1,2,0,0,0,0,0,5,3,2,60.0,35,2022-2023
   Carlos Fernández,9,es ESP,FW,26-363,10,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,35,2022-2023
Ander Barrenetxea,7,es ESP,LW,21-144,72,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,,35,2022-2023
   Pablo Marín,42,es ESP,LW,19-321,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,35,2022-2023
Mohamed Ali Cho,11,fr FRA,RW,19-121,57,0,0,0,3,0,0,1,0,3,0,0,0,4,0,1,0.0,35,2022-2023
   Takefusa Kubo,14,jp JPN,RW,21-350,33,1,0,0,1,1,0,1,1,0,0,0,0,3,0,0,,35,2022-2023
Mikel Merino,8,es ESP,AM,26-332,90,0,0,0,1,1,0,0,0,0,0,0,0,9,3,4,42.9,35,2022-2023
Martín Zubimendi,3,es ESP,DM,24-107,90,0,0,0,2,0,0,0,2,1,0,0,0,3,1,0,100.0,35,2022-2023
Asier Illarramendi,4,es ESP,DM,33-073,57,1,0,0,3,1,0,2,2,3,0,0,0,4,1,1,50.0,35,2022-2023
   Andoni Gorosabel,18,es ESP,DM,26-289,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Diego Rico,15,es ESP,LB,30-086,90,0,0,0,1,1,0,2,0,3,0,0,0,4,0,0,,35,2022-2023
Robin Le Normand,24,es ESP,CB,26-190,90,0,0,0,3,2,0,0,2,2,0,0,0,4,2,0,100.0,35,2022-2023
Igor Zubeldia,5,es ESP,CB,26-051,80,1,0,0,1,0,0,0,1,1,0,0,0,7,0,1,0.0,35,2022-2023
   Jon Pacheco,20,es ESP,CB,22-132,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,35,2022-2023
Aritz Elustondo,6,es ESP,RB,29-053,90,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,35,2022-2023
Álex Remiro,1,es ESP,GK,28-057,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Raúl de Tomás,25,es ESP,FW,28-216,66,0,0,0,1,0,1,1,0,0,0,0,0,2,1,0,100.0,35,2022-2023
   Sergio Camello,34,es ESP,FW,22-100,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,35,2022-2023
Óscar Trejo,8,ar ARG,FW,35-025,72,1,0,0,2,1,0,4,0,2,0,0,0,4,1,0,100.0,35,2022-2023
   Radamel Falcao,9,co COL,FW,37-100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,35,2022-2023
Álvaro García,18,es ESP,LM,30-206,86,0,0,0,0,2,0,4,0,1,0,0,0,2,0,0,,35,2022-2023
   Andrés Martín,12,es ESP,LM,23-314,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35,2022-2023
Pathé Ciss,21,sn SEN,CM,29-066,72,0,0,0,1,0,1,0,2,1,0,0,0,8,0,3,0.0,35,2022-2023
   Unai López,17,es ESP,CM,27-203,18,0,0,0,1,1,0,2,0,1,0,0,0,5,0,0,,35,2022-2023
Santi Comesaña,6,es ESP,CM,26-228,90,0,0,0,0,0,0,2,2,1,0,0,0,8,3,2,60.0,35,2022-2023
