player,shirtnumber,nationality,position,age,minutes,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,Matchweek,Season
Nacho,22,es ESP,LB,30-213,90,64,47,16,2,0,1,6,14,0,0,0,0,43,1,2,8,2019-2020
Mohammed Salisu,27,gh GHA,CB,20-172,90,30,29,1,1,0,0,0,0,0,0,0,0,27,0,0,8,2019-2020
Kiko Olivas,4,es ESP,CB,31-046,90,47,45,2,2,0,0,0,0,0,0,0,0,42,0,0,8,2019-2020
Javi Moyano,17,es ESP,RB,33-225,90,42,36,5,1,0,0,0,4,0,0,0,0,33,1,1,8,2019-2020
Jordi Masip,1,es ESP,GK,30-276,90,35,18,16,4,0,0,0,0,0,0,0,0,20,1,0,8,2019-2020
Diego Costa,19,es ESP,FW,30-364,90,17,17,0,0,0,0,0,0,0,0,0,0,9,0,0,8,2019-2020
Álvaro Morata,9,es ESP,FW,26-348,71,14,14,0,0,0,0,1,0,0,0,0,0,12,0,1,8,2019-2020
   Héctor Herrera,16,mx MEX,CM,29-170,19,16,16,0,0,0,1,0,0,0,0,0,0,13,0,0,8,2019-2020
João Félix,7,pt POR,LM,19-330,60,16,16,0,0,0,0,0,0,0,0,0,0,10,0,3,8,2019-2020
   Ángel Correa,10,ar ARG,"FW,RM,LM",24-211,30,11,11,0,0,1,0,1,0,0,0,0,0,7,0,0,8,2019-2020
