player,shirtnumber,nationality,position,age,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,Matchweek,Season
Jordi Alba,18,es ESP,LB,30-177,90,119,1,13,56,50,1,119,1,1,100.0,0,0.0,62,212,108,2,0,0,0,0,93,5,4,2019-2020
Clément Lenglet,15,fr FRA,CB,24-089,90,88,5,22,63,3,0,88,0,0,,0,,64,303,187,0,2,0,1,0,74,0,4,2019-2020
Gerard Piqué,3,es ESP,CB,32-224,90,84,9,23,59,3,1,84,0,0,,0,,58,385,283,2,2,0,0,0,66,0,4,2019-2020
Nélson Semedo,2,pt POR,RB,25-302,90,82,5,13,38,31,2,82,2,1,50.0,1,50.0,55,319,209,4,8,1,1,0,62,3,4,2019-2020
Marc-André ter Stegen,1,de GER,GK,27-137,90,24,20,24,0,0,0,24,0,0,,0,,13,51,28,0,0,0,0,0,10,0,4,2019-2020
Rodrigo,19,es ESP,FW,28-192,71,43,0,3,22,18,3,43,0,0,,0,,25,99,31,1,0,0,3,0,37,6,4,2019-2020
   Maxi Gómez,22,uy URU,FW,23-031,19,5,0,1,3,1,1,5,0,0,,0,,3,6,0,0,0,0,0,0,3,1,4,2019-2020
Kévin Gameiro,9,fr FRA,FW,32-128,90,34,0,2,16,18,5,34,3,1,33.3,2,66.7,20,138,66,3,2,1,1,2,20,9,4,2019-2020
Gonçalo Guedes,7,pt POR,LM,22-289,66,26,0,9,9,9,1,26,4,1,25.0,3,75.0,19,121,51,3,2,0,1,1,18,5,4,2019-2020
   Denis Cheryshev,11,ru RUS,LM,28-262,24,13,0,3,6,4,0,13,3,1,33.3,2,66.7,10,88,37,2,1,0,0,0,9,1,4,2019-2020
Francis Coquelin,17,fr FRA,CM,28-124,90,49,3,19,23,8,1,49,1,1,100.0,0,0.0,28,112,47,0,0,0,2,1,36,1,4,2019-2020
Daniel Parejo,10,es ESP,CM,30-151,90,79,2,19,47,13,0,79,1,0,0.0,1,100.0,44,191,101,0,2,0,2,2,57,0,4,2019-2020
Ferrán Torres,20,es ESP,RM,19-197,66,30,0,8,14,8,1,30,2,1,50.0,1,50.0,20,101,40,1,1,0,4,0,21,6,4,2019-2020
   Lee Kang-in,16,kr KOR,RM,18-207,24,16,0,1,9,6,0,16,0,0,,0,,11,55,15,0,0,0,1,0,12,3,4,2019-2020
José Luis Gayà,14,es ESP,LB,24-112,90,52,5,17,24,12,2,52,1,1,100.0,0,0.0,26,164,82,1,0,0,1,0,34,5,4,2019-2020
Gabriel Paulista,5,br BRA,CB,28-292,90,44,11,35,9,0,0,44,1,1,100.0,0,0.0,25,166,89,0,0,0,0,1,28,0,4,2019-2020
Ezequiel Garay,24,ar ARG,CB,32-339,90,63,13,34,27,2,0,63,0,0,,0,,40,263,141,0,1,0,0,0,44,0,4,2019-2020
Daniel Wass,18,dk DEN,RB,30-106,90,59,4,24,24,12,4,59,0,0,,0,,30,113,75,2,2,0,1,0,40,4,4,2019-2020
Jasper Cillessen,13,nl NED,GK,30-145,90,28,27,28,0,0,0,28,0,0,,0,,17,111,96,0,0,0,0,0,12,0,4,2019-2020
Sergi Enrich,9,es ESP,FW,29-201,80,26,0,4,10,12,1,26,0,0,,0,,11,36,1,1,0,0,2,0,19,6,4,2019-2020
   Quique,7,es ESP,FW,29-122,10,4,0,0,0,4,1,4,3,2,66.7,1,33.3,4,42,12,1,1,0,0,1,5,1,4,2019-2020
Charles,19,br BRA,FW,35-164,90,27,0,0,12,15,5,27,0,0,,0,,16,42,6,0,0,0,3,1,20,4,4,2019-2020
Takashi Inui,22,jp JPN,LM,31-105,90,34,0,0,11,23,4,34,2,1,50.0,1,50.0,18,112,65,2,1,1,1,2,22,3,4,2019-2020
Edu Expósito,10,es ESP,CM,23-045,72,36,0,10,20,6,1,36,2,1,50.0,1,50.0,17,87,26,1,0,1,0,0,23,0,4,2019-2020
