playerId,pid,nn
1199,3,Battaglia
1121,2,Balliu
1161,4,Boulaye Dia
1053,3,Puado
1179,2,Diego Rico
1188,4,Jovic
1219,1,Agirrezabala
1227,2,Carlos Domínguez
1244,1,Fuidias
1254,4,Iván Romero
1307,4,Hoppe
1048,3,Keidi Bare
1054,2,Miguelón
1174,2,Saúl García
1224,4,Nico Serrano
1249,1,APastor
1317,2,Aurier
1258,3,Koba Leïn
939,2,Ronald Araújo
1008,3,Papu
1289,4,Sorloth
1232,2,John Nwankwo
1245,2,Miguel Gutiérrez
1251,2,JCarmona
67,3,Llorente
1238,3,Isma Ruiz
943,2,Rekik
1197,3,Kubo
1065,1,Oier
1217,1,Arnau Tenas
1234,1,Kane Sarr
1318,4,Nico Williams
1319,4,Abde
1282,3,Jankto
1265,2,Abqar
1274,3,Javi Serrano
1241,2,Unai Dufur
1257,2,Joseda
1259,3,Burlamaqui
1262,1,Flere
1270,2,Iker Recio
1320,3,Ceballos
1090,2,Raíllo
1324,2,Dani Alves
1323,3,Rafinha
773,3,Camarasa
1225,2,Fran Delgado
1321,2,Maras
1347,2,Martín Cáceres
1338,4,Adama
1327,4,Ferran Torres
1328,4,Tecatito Corona
1333,1,Sergio Rico
1346,4,Aubameyang
1351,2,Giovanni González
1326,3,Escalante
1352,4,Muriqi
1133,2,Sabaly
1329,4,Borja Mayoral
1212,1,Ayesa
1330,3,Gonzalo Villar
1331,4,Orbelín
1334,3,Vilhena
1332,3,Alcaraz
1342,4,Bryan Gil
1335,2,Cömert
1336,4,Martial
1349,4,Uzuni
1341,3,Lo Celso
1348,3,Petrovic
1350,4,Arezo
1337,2,Tenaglia
1339,2,Lucas Olaza
1343,3,Kike Pérez
1344,2,Luis Hernández
1322,2,Raúl Torrente
1345,2,Gastón
1340,4,Ezequiel Ponce
1325,3,San Emeterio
1353,2,Reinildo
1354,3,Clément Grenier
1355,2,Saracchi
1252,2,POrtiz
1267,2,Gori
1271,3,J Moreno
1228,3,Kike Hermoso
1272,4,PGálvez
1505,4,Lewandowski
224,4,Sergio León
204,1,Aitor Fdez.
1374,1,Masip
1386,3,Roque Mesa
1522,4,Leo Baptistao
1534,4,Cavani
1385,3,Aguado
1392,2,Joaquín F.
1486,4,Morata
1541,4,Larsen
1169,3,Riquelme
1474,2,Rüdiger
1514,2,Momo Mbaye
1531,3,Ander Herrera
817,3,Álex Fernández
1422,1,Fernando 
1447,4,Stuani
1490,1,Rajkovic
1493,1,Marchesín
1528,3,Luiz Henrique
1547,4,El Bilal Touré
1552,2,Marcos Alonso
247,4,Vinícius Jr.
1380,4,Óscar Plano
1452,3,Aleix García
1477,3,Witsel
1536,3,Brian Ocampo
874,3,Óscar
1382,3,Gonzalo Plata
1517,3,Aimar Oroz
652,3,Rubén García
1072,3,Dani Rodríguez
1269,2,Fran García
1450,2,Valery
1476,2,Mendes
1480,3,Tchouaméni
1488,4,Samuel Lino
1515,2,Nianzou
1532,4,Bongonda
217,4,Morales
366,2,Rodrigo Ely
1339,2,Olaza
1351,2,Gio González
1378,2,Javi Sánchez
1414,3,Robertone
1415,3,De La Hoz
1424,2,Akieme
1443,1,Juan Carlos
1487,2,Angileri
1491,2,Nahuel Molina
1495,2,Kiko Femenía
1537,3,Oriol Romeu
1542,2,Mumin
1546,2,Nastasic
1553,2,Nico Fernández
801,2,Espino
995,4,Yéremy Pino
1022,3,Álex Baena
1023,2,Palacios
1053,4,Puado
1069,3,Antonio Sánchez
1253,2,Pozo
1384,2,El Yamiq
1388,3,Toni Villa
1417,4,Portillo
1425,3,Lazo
1427,2,Chumi
1428,2,Babic
1434,3,Samú Costa
1468,2,Arnau Mtnez.
1485,3,Vini Souza
1492,2,Álex Telles
1496,2,Yan Couto
1499,3,Edu Expósito
1500,4,Taty Castellanos
1504,4,Raphinha
1529,3,Almeida
245,2,Lucas Vázquez
1039,3,José Pozo
1251,2,Carmona
1354,3,Grenier
1436,4,Ramazani
1458,2,Santi Bueno
1509,4,Carles Pérez
1516,4,Jackson
1530,4,Latasa
1545,4,Kluivert
955,2,Diego Glez.
1049,2,David López
1066,1,Diego López
1100,1,Cristian Rivero
1102,2,Mario H.
1106,3,Iván Martín
1203,3,Monchu
1266,1,Joan García
1313,1,Werner
1389,3,Iván Sánchez
1413,3,Eguaras
1420,4,Dyego Sousa
1431,3,Arnau Puigmal
1444,2,Bernardo
1473,3,Seoane
1479,1,Pepe Reina
1482,2,Copete
1484,4,Guruzeta
1489,3,Swedberg
1501,3,Álex Collado 
1502,2,Pol Lirola
1506,3,Kessié
1508,2,Kaiky
1510,3,Algobia
1511,1,Zubiaurre
1513,3,De La Torre
1519,2,Luiz Felipe
1520,3,Javi Hernández
1525,2,Cenk 
1535,2,Chavarría
1538,1,Álvaro Fernández
1543,2,Jordan Amavi
